1994group.ac.uk, The 1994 Group
bournville.ac.uk, Bournville College of Further Education
bpa.ac.uk, British Philosophical Association
bpc.ac.uk, The Bournemouth and Poole College
bpcoll.ac.uk, The Bournemouth and Poole College
bpmf.ac.uk, Pre April 1999 Registration
bps.ac.uk, British Pharmacological Society
bracknell.ac.uk, Bracknell and Wokingham College
brad.ac.uk, University of Bradford
bradcoll.ac.uk, Bradford College
bradford.ac.uk, University of Bradford
bradfordcollege.ac.uk, Bradford College
bradforduni-recruitment.ac.uk, Bradford University Recruitment Dept.
brain.ac.uk, The Guarantors of Brain
braintree.ac.uk, Colchester Institute Enterprises Limited
brams.ac.uk, Bramshill Police Training College
brc.ac.uk, Natural Environment Research Council
breakingofbritain.ac.uk, King's College London
brent-acl.ac.uk, London Borough of Brent
bretton.ac.uk, Bretton Hall University College
bricoltech.ac.uk, "City College,  Brighton and Hove"
bridgecollege.ac.uk, Bridge College
bridgend.ac.uk, Bridgend College
bridgwater.ac.uk, Bridgwater College
brighton-uch.ac.uk, University of Brighton
brighton.ac.uk, University of Brighton
brightonandsussexmedicalschool.ac.uk, University of Brighton
brightoncity.ac.uk, Brighton City College
brightoncitycollege.ac.uk, Brighton City College
brightonmedicalschool.ac.uk, University of Brighton
brightstudy.ac.uk, The Bright Study
brin.ac.uk, The University of Manchester
brinsbury.ac.uk, Brinsbury College of Agriculture & Horticulture
brinscoll.ac.uk, Brindsbury College
bris.ac.uk, University of Bristol
brisbio.ac.uk, Bristol Biomedical Image Archive
brisman.ac.uk, Bristol Management Centre
brismes.ac.uk, The British Society for Middle Eastern Studies
bristol-baptist.ac.uk, Bristol Baptist College
bristol.ac.uk, University of Bristol
bristolinstituteoflegalpractice.ac.uk, "University of the West of England,  Bristol"
bristollawschool.ac.uk, "University of the West of England,  Bristol"
bristoluwe.ac.uk, Bristol University of the West of England
britac.ac.uk, The British Academy
britarch.ac.uk, Council for British Archaeology
brite.ac.uk, The BRITE Initiative
british-antarctic-survey.ac.uk, British Antartic Survey
british-geological-survey.ac.uk, British Geological Survey
british-history.ac.uk, University of London
british-museum.ac.uk, The British Museum
britishacademy.ac.uk, The British Academy
britishlibrary.ac.uk, The British Library
britishludwigwittgensociety.ac.uk, University of Hertfordshire
britishmuseum.ac.uk, The British Museum
britishwittgensteinsociety.ac.uk, University of Hertfordshire
britphil.ac.uk, The British Philosophical Association
brl.ac.uk, "University of the West of England,  Bristol"
brnc.ac.uk, Britannia Royal Naval College
brock.ac.uk, Brockenhurst College
bromley.ac.uk, Bromley College of Further and Higher Education
bromleyadulteducation.ac.uk, London Borough of Bromley
brookehouse.ac.uk, Brooke House Sixth Form College
brookes.ac.uk, Oxford Brookes University
brooklands.ac.uk, Brooklands College
brooksby.ac.uk, Brooksby Agricultural College
brooksbymelton.ac.uk, Brooksby Melton College
broomfield.ac.uk, Derby College
broomsbarn.ac.uk, Institute of Arable Crops Research - Broom's Barn
brox-coll.ac.uk, Castle College Nottingham
broxtowe.ac.uk, Castle College Nottingham
bruford.ac.uk, Rose Bruford College
brunel.ac.uk, Brunel University
bsa.ac.uk, British School At Athens
bsac.ac.uk, Benedictine Study and Arts Centre
bsbec.ac.uk, Biotechnology and Biological Sciences Research Council
bsdc.ac.uk, Burton College
bsfc.ac.uk, Birkenhead Sixth Form College
bsg.ac.uk, British Study Group
bshm.ac.uk, British Society for the History of Mathematics
bsix.ac.uk, Brooke House Sixth Form College
bsixbrookehouse.ac.uk, Brooke House Sixth Form College
bsixbrookehousesixthformcollege.ac.uk, Brooke House Sixth Form College
bsixcollege.ac.uk, Brooke House Sixth Form College
bsls.ac.uk, University of Glasgow
bsma.ac.uk, The Arts University College at Bournemouth
bsmb.ac.uk, British Society for Matrix Biology
bsms.ac.uk, University of Brighton
bsnti.ac.uk, Birmingham City University
bso.ac.uk, The British School of Osteopathy
bsr.ac.uk, The British School at Rome
bsrg.ac.uk, British Stroke Research Group
bssd.ac.uk, Birmingham City University
bssh.ac.uk, British Society for Surgery of the Hand
btas.ac.uk, Business Training Advisory Service
btc.ac.uk, Balderstone Technology College
bton.ac.uk, University of Brighton
btrp-hyperpolarised.ac.uk, Basic Technology Research Programme - Hyperpolarised Technologies for Medical and Materials Science
buba.ac.uk, Loughborough University
bubl.ac.uk, University of Strathclyde
buck.ac.uk, University of Buckingham
buckingham.ac.uk, University of Buckingham
buckinghamshire.ac.uk, Buckinghamshire New University
bucks.ac.uk, Buckinghamshire New University
buckscol.ac.uk, Buckinghamshire New University
buckscollege.ac.uk, Buckinghamshire New University
bucksnewuni.ac.uk, Buckinghamshire New University
bufdg.ac.uk, British Universities Finance Directors Group
bufvc.ac.uk, British Universities Film & Video Council
bui.ac.uk, Bristol Urological Institute
buic.ac.uk, University of Exeter
buila.ac.uk, British Universities International Liaison Association
builtenvsigns.ac.uk, University of Wolverhampton
burnley.ac.uk, Burnley College
burton-college.ac.uk, Burton College
burton-southderbyshirecollege.ac.uk, Burton College
burton.ac.uk, Burton College
burtonandsouthderbyshirecollege.ac.uk, Burton College
buryacl.ac.uk, Bury Metropolitan Borough Council
burycollege.ac.uk, Bury College
businessaccess.ac.uk, Higher Education Business Access Service
businesscove-blackcountry.ac.uk, Sandwell College
butex.ac.uk, British Universities Transatlantic Exchange Association
buxtoncollege.ac.uk, Buxton College of Further Education
bws.ac.uk, University of Hertfordshire
byam-shaw.ac.uk, Byam Shaw School of Art
byzantine-ahrb-centre.ac.uk, The Queen's University of Belfast
byzantium.ac.uk, Society for the Promotion of Byzantium Studies
c-scaipe.ac.uk, Kingston University
c4ccetl.ac.uk, York St John University
caacentre.ac.uk, The CAA Centre
cabot.ac.uk, John Cabot Academy
cadcol.ac.uk, Cadbury Sixth Form College
cade.ac.uk, Computers in Art & Design Education- GSA
cadise.ac.uk, Ravensbourne
cadres.ac.uk, The University of Manchester
caerdydd.ac.uk, Cardiff University
cafmad.ac.uk, Research Enterprise Partnership
cafre.ac.uk, Department of Agriculture & Rural Development
calam.ac.uk, University of Salford
calat.ac.uk, London Borough of Croydon
calderdale-acl.ac.uk, Calderdale Council
calderdale.ac.uk, Calderdale College
caledonian.ac.uk, Glasgow Caledonian University
calim.ac.uk, Consortium of Academic Libraries in Manchester
cam.ac.uk, University of Cambridge
camborne.ac.uk, Cornwall College
cambridge-university.ac.uk, University of Cambridge
cambridge.ac.uk, University of Cambridge
cambridgeuniversity.ac.uk, University of Cambridge
camden-acl.ac.uk, London Borough of Camden
campwsbydeangcymru.ac.uk, University of Wales
camre.ac.uk, Cambridge Regional College
camsfc.ac.uk, Cheadle and Marple Sixth Form College
can.ac.uk, Association of Colleges
candi.ac.uk, City and Islington College
cando.ac.uk, CanDo
cannington.ac.uk, Bridgwater College
cannock.ac.uk, South Staffordshire College
canolfanyramgylcheddolcymru.ac.uk, Natural Environment Research Council
canonbury.ac.uk, Canonbury Masonic Research Centre
cant-col.ac.uk, Canterbury College
cant.ac.uk, Canterbury Christ Church University
cantab.ac.uk, University of Cambridge
canterbury.ac.uk, Canterbury Christ Church University
canterburycollege.ac.uk, Canterbury College
cap.ac.uk, National Museum of Science and Industry
capel.ac.uk, Capel Manor College
capitalisingoncreativity.ac.uk, University of St Andrews
carbo-biocrop.ac.uk, University of Southampton
carbobiocrop.ac.uk, University of Southampton
cardiff-institute.ac.uk, University of Wales - Institute of Cardiff
cardiff.ac.uk, Cardiff University
cardinalnewman.ac.uk, "Cardinal Newman College,  Preston"
cardonald.ac.uk, Cardonald College
careersinresearch.ac.uk, Natural Environment Research Council
careerswales.ac.uk, "University of Wales,  Swansea"
carlisle.ac.uk, Carlisle College
carmel.ac.uk, Carmel College
carmer.ac.uk, University of Glasgow
carnegie.ac.uk, Leeds Metropolitan University
carnegiecollege.ac.uk, Carnegie College
carr-lse.ac.uk, London School of Economics
carr.ac.uk, London School of Economics and Political Science
carshalton.ac.uk, Carshalton College
cartoons.ac.uk, University of Kent
casaw.ac.uk, University of Edinburgh
casbah.ac.uk, CASBAH
casim.ac.uk, Science and Technology Facilities Council
casnewydd.ac.uk, "University of Wales,  Newport"
castle-coll.ac.uk, Castle College Nottingham
castle.ac.uk, City University London
castlecollege.ac.uk, Castle College Nottingham
castlereagh.ac.uk, Castlereagh College
causeway.ac.uk, Causeway Institute of FHE
cava.ac.uk, The Cambridge Access Validating Agency
cavc.ac.uk, Coleg Glan Hafren
cave.ac.uk, Royal Veterinary College
cavendish.ac.uk, Cavendish College
caw.ac.uk, The College of Animal Welfare
cayt.ac.uk, The Institute for Fiscal Studies
cbcdc.ac.uk, Royal Welsh College of Music and Drama
cbpar.ac.uk, Medical Research Council
cbs.ac.uk, Cornwall College
ccad.ac.uk, Cleveland College of Art and Design
ccap.ac.uk, Natural Environment Research Council
ccb.ac.uk, "City College,  Brighton and Hove"
ccbh.ac.uk, University of London
ccc.ac.uk, Swansea University
cccep.ac.uk, London School of Economics and Political Science
cccr.ac.uk, Research Enterprise Partnership
ccdc.ac.uk, Royal Welsh College of Music and Drama
ccesd.ac.uk, London Metropolitan University
ccfe.ac.uk, United Kingdom Atomic Energy Authority
cch.ac.uk, Hackney Community College
cchsr.ac.uk, University of Cambridge
cci.ac.uk, Coleg Glan Hafren
ccl.ac.uk, Central Council for Laboratories
cclrc.ac.uk, Science and Technology Facilities Council
ccm.ac.uk, The Manchester College
ccms.ac.uk, Centre for Coastal and Marine Sciences
ccn.ac.uk, City College Norwich
